Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Drinkware material (product.metafields.shopify.drinkware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Vase shape (product.metafields.shopify.vase-shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
double-pen-holder-wth-watch,Double Pen Holder Wth Watch,"<div style=""background: linear-gradient(to bottom, #fdf4ff, #fae8ff); padding: 50px 25px; font-family: 'Helvetica Neue', Arial, sans-serif;"">
  <div style=""max-width: 900px; margin: 0 auto;"">
    <div style=""text-align: center; margin-bottom: 40px;"">
      <h1 style=""color: #581c87; font-size: 44px; font-weight: 700; margin: 0 0 10px 0;"">Double Pen Holder With Watch</h1>
      <p style=""color: #6b21a8; font-size: 18px; margin: 0; font-weight: 500;"">Blue Pottery Handcrafted Desk Organizer</p>
    </div>
    <div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
      <p style=""font-size: 17px; line-height: 1.9; color: #475569; text-align: center; margin: 0;"">Maximize your desk organization with this dual-purpose pen holder featuring an integrated watch and Blue Pottery designs, handcrafted by skilled artisans in Pakistan. This functional piece keeps your workspace organized while displaying the time. Each piece showcases intricate hand-painted patterns that celebrate Pakistani craftsmanship.</p>
    </div>
    <div style=""display: flex; flex-wrap: wrap; gap: 20px; margin: 35px 0;"">
      <div style=""flex: 1; min-width: 250px; background: #fae8ff; padding: 25px; border-radius: 10px; border-top: 3px solid #9333ea;"">
        <h3 style=""color: #6b21a8; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">✏️ Design</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Double pen holder with integrated clock, hand-painted Blue Pottery patterns</p>
      </div>
      <div style=""flex: 1; min-width: 250px; background: #fae8ff; padding: 25px; border-radius: 10px; border-top: 3px solid #9333ea;"">
        <h3 style=""color: #6b21a8; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">⏰ Function</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Working clock mechanism with dual pen storage, multi-functional desk accessory</p>
      </div>
      <div style=""flex: 1; min-width: 250px; background: #fae8ff; padding: 25px; border-radius: 10px; border-top: 3px solid #9333ea;"">
        <h3 style=""color: #6b21a8; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">🎨 Craft</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Traditional Pakistani artisan techniques, ceramic with blue pottery glaze</p>
      </div>
    </div>
    <div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
      <h2 style=""color: #581c87; text-align: center; margin: 0 0 25px 0; font-size: 26px;"">Perfect For</h2>
      <p style=""color: #475569; font-size: 16px; line-height: 1.8; text-align: center; margin: 0;"">This handcrafted piece is ideal for your office desk, home study, student workspace, or as a thoughtful gift. It serves as both a functional organizer and timepiece that adds cultural charm to your workspace.</p>
    </div>
    <div style=""background: linear-gradient(to right, #fae8ff, #f3e8ff); padding: 30px; border-radius: 12px; border-left: 4px solid #9333ea;"">
      <h3 style=""color: #581c87; margin: 0 0 15px 0; font-size: 20px;"">Care Instructions</h3>
      <p style=""color: #475569; margin: 0; font-size: 16px; line-height: 1.8;"">To maintain the beauty of your pen holder watch, dust it regularly with a soft, dry cloth and handle it with care to preserve the delicate hand-painted details. Keep the piece away from moisture and direct sunlight, and replace the battery as needed to ensure the clock continues functioning properly. Each piece is individually crafted, making it a unique addition to your desk.</p>
    </div>
  </div>
</div>",My Store,Office Supplies > Filing & Organization > Desk Organizers > Pen Holders,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/FXPpcfFFh93g8ei2U14St4FrUo2bv8Qs6R105Rbu-removebg-preview.png?v=1771904277,1,"",false,,,,,,,,,,,,,,,,,,,kg,,11.94,active
chess-set,Chess Set,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,65.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/67-removebg-preview.png?v=1771904276,1,"",false,,,,,,,,,,,,,,,,,,,kg,,52.29,active
fruits-set,Fruits Set,"<div style=""max-width: 800px; margin: 0 auto; font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;"">
<div style=""background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); color: white; padding: 30px; border-radius: 10px; margin-bottom: 25px; text-align: center;"">
<h1 style=""margin: 0 0 10px 0; font-size: 32px; font-weight: 700;"">Fruits Set</h1>
<span style=""margin: 0; font-size: 18px; opacity: 0.95;"">Handcrafted Decorative Collection</span>
</div>
<div style=""background: #f8f9fa; padding: 25px; border-radius: 10px; margin-bottom: 20px; border-left: 4px solid #667eea;""><span style=""color: #495057; font-size: 16px; line-height: 1.8; margin: 0;"">Add natural beauty to your space with this delightful fruits set featuring Blue Pottery designs, handcrafted by skilled artisans in Pakistan. This decorative collection brings traditional artistry and fruity charm to your home.</span></div>
<table style=""width: 100%; border-collapse: separate; border-spacing: 0 15px;"">
<tr><td style=""background: white; padding: 25px; border-radius: 10px; box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">
<strong style=""color: #667eea; font-size: 18px; display: block; margin-bottom: 12px; border-bottom: 2px solid #e9ecef; padding-bottom: 8px;"">Design</strong><span style=""color: #495057; font-size: 15px; line-height: 1.6;"">Fruits set with intricate hand-painted Blue Pottery patterns</span>
</td></tr>
<tr><td style=""background: white; padding: 25px; border-radius: 10px; box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">
<strong style=""color: #667eea; font-size: 18px; display: block; margin-bottom: 12px; border-bottom: 2px solid #e9ecef; padding-bottom: 8px;"">Material</strong><span style=""color: #495057; font-size: 15px; line-height: 1.6;"">Premium ceramic with traditional blue pottery glaze</span>
</td></tr>
<tr><td style=""background: white; padding: 25px; border-radius: 10px; box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">
<strong style=""color: #667eea; font-size: 18px; display: block; margin-bottom: 12px; border-bottom: 2px solid #e9ecef; padding-bottom: 8px;"">Craft</strong><span style=""color: #495057; font-size: 15px; line-height: 1.6;"">Individually handcrafted by Pakistani artisans</span>
</td></tr>
</table>
<div style=""background: #fff3cd; padding: 25px; border-radius: 10px; margin-bottom: 20px; border-left: 4px solid #ffc107;"">
<strong style=""color: #856404; font-size: 20px; display: block; margin-bottom: 12px;"">Perfect For</strong><span style=""color: #856404; font-size: 15px; line-height: 1.7;"">This handcrafted fruits set is ideal for home decor, kitchen display, dining table centerpiece, or as a colorful gift. It adds cultural charm and natural vibrancy to any setting.</span>
</div>
<div style=""background: #d1ecf1; padding: 25px; border-radius: 10px; border-left: 4px solid #17a2b8;"">
<strong style=""color: #0c5460; font-size: 20px; display: block; margin-bottom: 12px;"">Care Instructions</strong><span style=""color: #0c5460; font-size: 15px; line-height: 1.7;"">Dust regularly with a soft, dry cloth. Handle with care to preserve hand-painted details. Keep away from moisture and direct sunlight. Display on a stable surface. Each piece is individually crafted, making it unique.</span>
</div>
</div>",My Store,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Figs","","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/cLj4TC2MUVmyMPjvSQcqhIvCofSDXRLqjVlGWk84-removebg-preview.png?v=1771904275,1,"",false,,,,,,,,,,,,,,,,,,,kg,,8.53,active
onyx-candle-stand,Onyx Candle Stand,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Decor > Home Fragrance Accessories > Candle Holders,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/66-removebg-preview.png?v=1771904274,1,"",false,,,,,,,,,,,,,,,,,,,kg,,3.41,active
dice-watch,Dice Watch,"<div style=""background: linear-gradient(to bottom, #f0f9ff, #e0f2fe); padding: 50px 25px; font-family: 'Helvetica Neue', Arial, sans-serif;"">
  <div style=""max-width: 900px; margin: 0 auto;"">
    <div style=""text-align: center; margin-bottom: 40px;"">
      <h1 style=""color: #075985; font-size: 44px; font-weight: 700; margin: 0 0 10px 0;"">Dice Watch</h1>
      <p style=""color: #0369a1; font-size: 18px; margin: 0; font-weight: 500;"">Blue Pottery Handcrafted Timepiece</p>
    </div>
    <div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
      <p style=""font-size: 17px; line-height: 1.9; color: #475569; text-align: center; margin: 0;"">Add playful charm to your space with this unique dice-shaped watch featuring Blue Pottery designs, handcrafted by skilled artisans in Pakistan. This creative piece combines timekeeping with traditional craftsmanship in a fun form. Each piece showcases intricate hand-painted patterns that celebrate Pakistani artistry.</p>
    </div>
    <div style=""display: flex; flex-wrap: wrap; gap: 20px; margin: 35px 0;"">
      <div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
        <h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">🎲 Design</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Dice shape with hand-painted Blue Pottery patterns</p>
      </div>
      <div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
        <h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">⏰ Function</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Working clock mechanism, decorative timepiece</p>
      </div>
      <div style=""flex: 1; min-width: 250px; background: #dbeafe; padding: 25px; border-radius: 10px; border-top: 3px solid #0284c7;"">
        <h3 style=""color: #0369a1; margin: 0 0 12px 0; font-size: 16px; text-transform: uppercase; letter-spacing: 0.5px;"">🎨 Craft</h3>
        <p style=""color: #475569; margin: 0; line-height: 1.7;"">Traditional Pakistani artisan techniques, ceramic with blue pottery glaze</p>
      </div>
    </div>
    <div style=""background: white; padding: 35px; border-radius: 12px; box-shadow: 0 4px 15px rgba(0,0,0,0.08); margin-bottom: 30px;"">
      <h2 style=""color: #075985; text-align: center; margin: 0 0 25px 0; font-size: 26px;"">Perfect For</h2>
      <p style=""color: #475569; font-size: 16px; line-height: 1.8; text-align: center; margin: 0;"">This handcrafted piece is ideal for game room, home decor, office display, or as a unique gift. It serves as both a functional timepiece and a beautiful decorative accent that adds cultural charm and playful character to any setting.</p>
    </div>
    <div style=""background: linear-gradient(to right, #e0f2fe, #bae6fd); padding: 30px; border-radius: 12px; border-left: 4px solid #0284c7;"">
      <h3 style=""color: #075985; margin: 0 0 15px 0; font-size: 20px;"">Care Instructions</h3>
      <p style=""color: #475569; margin: 0; font-size: 16px; line-height: 1.8;"">To maintain the beauty of your dice watch, dust it regularly with a soft, dry cloth and handle it with care to preserve the delicate hand-painted details. Keep the piece away from moisture and direct sunlight, and replace the battery as needed to ensure the clock continues functioning properly. Each piece is individually crafted, making it a unique addition to your collection.</p>
    </div>
  </div>
</div>",My Store,Apparel & Accessories > Jewelry > Watches,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1xvF9PHEvKpjW0mCDCny8HnYJxOxpibeNixgHjVQ-removebg-preview.png?v=1771904273,1,"",false,,,,,,,,,,,,,,,,,,,kg,,7.73,active
gawa-set-1,Gawa Set,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Apparel & Accessories > Jewelry,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,85.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/65-removebg-preview.png?v=1771904272,1,"",false,,,,,,,,,,,,,,,,,,,kg,,19.10,active
onyx-ashtray,Onyx Ashtray,"<div style=""font-family: 'Georgia', serif; line-height: 1.7; color: #2c3e50;"">
  <div style=""background: linear-gradient(135deg, #2c3e50 0%, #34495e 100%); color: white; padding: 30px; border-radius: 10px 10px 0 0;"">
    <h1 style=""margin: 0; font-size: 32px; font-weight: 300;"">Onyx Ashtray</h1>
    <p style=""margin: 10px 0 0 0; font-size: 18px; opacity: 0.95;"">Premium Collection | Royal Blue Potters</p>
  </div>
  
  <div style=""padding: 25px; background: white;"">
    <p style=""font-size: 16px; margin-bottom: 25px; line-height: 1.9;"">This sophisticated Onyx ashtray from <strong>Royal Blue Potters</strong> combines luxury with traditional craftsmanship. Featuring elegant onyx tones with hand-painted blue accents, it's a premium piece perfect for discerning collectors.</p>
    
    <div style=""display: grid; grid-template-columns: repeat(2, 1fr); gap: 20px; margin: 30px 0;"">
      <div style=""background: #f7f9fc; padding: 20px; border-radius: 8px; border-top: 3px solid #2c3e50;"">
        <h4 style=""margin: 0 0 10px 0; color: #2c3e50;"">Material</h4>
        <p style=""margin: 0; color: #555;"">Premium Ceramic with Onyx Finish</p>
      </div>
      <div style=""background: #f7f9fc; padding: 20px; border-radius: 8px; border-top: 3px solid #34495e;"">
        <h4 style=""margin: 0 0 10px 0; color: #34495e;"">Design</h4>
        <p style=""margin: 0; color: #555;"">Onyx with Blue Accents</p>
      </div>
      <div style=""background: #f7f9fc; padding: 20px; border-radius: 8px; border-top: 3px solid #2c3e50;"">
        <h4 style=""margin: 0 0 10px 0; color: #2c3e50;"">Finish</h4>
        <p style=""margin: 0; color: #555;"">Hand-painted Details</p>
      </div>
      <div style=""background: #f7f9fc; padding: 20px; border-radius: 8px; border-top: 3px solid #34495e;"">
        <h4 style=""margin: 0 0 10px 0; color: #34495e;"">Collection</h4>
        <p style=""margin: 0; color: #555;"">Premium Onyx Series</p>
      </div>
    </div>
    
    <h3 style=""color: #2c3e50; margin: 35px 0 20px 0; font-size: 24px;"">Distinguished Features</h3>
    <div style=""border-left: 5px solid #2c3e50; padding-left: 20px; margin: 20px 0;"">
      <p style=""margin: 12px 0; font-size: 15px;""><strong style=""color: #2c3e50;"">Premium Quality:</strong> Sophisticated onyx finish with blue pottery accents</p>
      <p style=""margin: 12px 0; font-size: 15px;""><strong style=""color: #2c3e50;"">Elegant Design:</strong> Perfect for luxury outdoor spaces</p>
      <p style=""margin: 12px 0; font-size: 15px;""><strong style=""color: #2c3e50;"">Collector's Item:</strong> Unique piece from premium collection</p>
      <p style=""margin: 12px 0; font-size: 15px;""><strong style=""color: #2c3e50;"">Master Craftsmanship:</strong> Hand-finished by skilled artisans</p>
      <p style=""margin: 12px 0; font-size: 15px;""><strong style=""color: #2c3e50;"">Timeless Appeal:</strong> Sophisticated addition to any setting</p>
    </div>
    
    <div style=""background: linear-gradient(135deg, #2c3e50 0%, #34495e 100%); color: white; padding: 25px; border-radius: 10px; margin: 30px 0; text-align: center;"">
      <p style=""margin: 0; font-size: 18px; font-style: italic; line-height: 1.6;"">""Elevate your outdoor space with this premium onyx ashtray. Where luxury meets traditional blue pottery artistry.""</p>
    </div>
    
    <h3 style=""color: #2c3e50; margin: 30px 0 15px 0;"">Care &amp; Maintenance</h3>
    <p style=""font-size: 14px; color: #555;"">This premium piece requires gentle care. Wipe clean with a soft, damp cloth. Avoid harsh chemicals and abrasive materials. Handle with care to preserve the onyx finish and hand-painted details.</p>
  </div>
</div>",My Store,Home & Garden > Smoking Accessories > Ashtrays,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/64-removebg-preview.png?v=1771904271,1,"",false,,,,,,,,,,,,,,,,,,,kg,,8.53,active
pen-holder-clock,Pen Holder Clock,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Office Supplies > Filing & Organization > Desk Organizers > Pen Holders,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,26.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/63-removebg-preview.png?v=1771904270,1,"",false,,,,,,,,,,,,,,,,,,,kg,,7.96,active
onyx-clock,Onyx Clock,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Decor > Clocks,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/62-removebg-preview.png?v=1771904269,1,"",false,,,,,,,,,,,,,,,,,,,kg,,10.80,active
onyx-coaster-set,Onyx Coaster Set,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Kitchen & Dining > Barware > Coasters,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/61-removebg-preview.png?v=1771904268,1,"",false,,,,,,,,,,,,,,,,,,,kg,,10.80,active
onyx-mortar-and-pestle,Onyx Mortar and Pestle,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Mortars & Pestles,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/60-removebg-preview.png?v=1771904267,1,"",false,,,,,,,,,,,,,,,,,,,kg,,5.12,active
pear-paper-weight,Pear Paper Weight,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and  technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Office Supplies > General Office Supplies > Paper Clips & Clamps > Paper Clips,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/59-removebg-preview.png?v=1771904265,1,"",false,,,,,,,,,,,,,,,,,,,kg,,7.16,active
vine-glass-set-6-piecs,Vine Glass Set (6 piecs),"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and  technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Stemware > Wine Glasses,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,60.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/58-removebg-preview.png?v=1771904264,1,"",false,,,,,,,,,,,,,,,,,,,kg,,20.46,active
apple-lamp,Apple Lamp,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and  technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Lighting > Lamps,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,40.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/57-removebg-preview.png?v=1771904262,1,"",false,,,,,,,,,,,,,,,,,,,kg,,20.46,active
vase-pair,Vase Pair,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and  technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Decor > Vases,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,60.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/56-removebg-preview.png?v=1771904260,1,"",false,,,,,,,,,,,,,,,,,,,kg,,23.87,active
flower-vase-2,Flower Vase,"<div class=""bg-white mb-3 shadow-sm rounded"">
<div class=""tab-content pt-0"">
<div class=""tab-pane fade active show"" id=""tab_default_1"">
<div class=""p-4"">
<div class=""mw-100 overflow-hidden text-left aiz-editor-data"">
<p>Onyx is a translucent stone found in abundance in Balochistan. The onyx is shaped into variety of artifacts and  technique like shell inlay &amp; engraving are used to decorate the product.<br></p>
</div>
</div>
</div>
</div>
</div>",My Store,Home & Garden > Decor > Vases,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,38.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/7006/6210/files/55-removebg-preview.png?v=1771904258,1,"",false,,,,,,,,,,,,,,,,,,,kg,,34.10,active
